     x:             analytic:               u(x):
     0.00000000     0.00000000     0.00000000
    0.010000000  3.0026686E-07  3.1584333E-07
    0.020000000  6.1860201E-07  6.4879537E-07
    0.030000000  9.7397298E-07  1.0198862E-06
    0.040000000  1.3871804E-06  1.4504561E-06
    0.050000000  1.8818619E-06  1.9647190E-06
    0.060000000  2.4856033E-06  2.5908847E-06
    0.070000000  3.2311967E-06  3.3624266E-06
    0.080000000  4.1580887E-06  4.3195399E-06
    0.090000000  5.3140672E-06  5.5108362E-06
     0.10000000  6.7572380E-06  6.9953284E-06
     0.11000000  8.5583522E-06  8.8447636E-06
     0.12000000  1.0803550E-05  1.1146370E-05
     0.13000000  1.3597594E-05  1.4006095E-05
     0.14000000  1.7067679E-05  1.7552409E-05
     0.15000000  2.1367911E-05  2.1940778E-05
     0.16000000  2.6684552E-05  2.7358904E-05
     0.17000000  3.3242163E-05  3.4032845E-05
     0.18000000  4.1310760E-05  4.2234146E-05
     0.19000000  5.1214124E-05  5.2288120E-05
     0.20000000  6.3339435E-05  6.4583434E-05
     0.21000000  7.8148381E-05  7.9583160E-05
     0.22000000  9.6189933E-05  9.7837482E-05
     0.23000000  0.00011811498  0.00011999824
     0.24000000  0.00014469302  0.00014683551
     0.25000000  0.00017683116  0.00017925649
     0.26000000  0.00021559560  0.00021832680
     0.27000000  0.00026223587  0.00026529455
     0.28000000  0.00031821202  0.00032161739
     0.29000000  0.00038522513  0.00038899262
     0.30000000  0.00046525110  0.00046939088
     0.31000000  0.00056057825  0.00056509335
     0.32000000  0.00067384875  0.00067873282
     0.33000000  0.00080810407  0.00081333884
     0.34000000  0.00096683469  0.00097238694
     0.35000000   0.0011540341   0.0011598522
     0.36000000   0.0013742571   0.0013802670
     0.37000000   0.0016326825   0.0016387835
     0.38000000   0.0019351806   0.0019412398
     0.39000000   0.0022883835   0.0022942309
     0.40000000   0.0026997609   0.0027051827
     0.41000000   0.0031776985   0.0031824305
     0.42000000   0.0037315794   0.0037352994
     0.43000000   0.0043718684   0.0043741885
     0.44000000   0.0051101980   0.0051106557
     0.45000000   0.0059594545   0.0059575037
     0.46000000   0.0069338653   0.0069288663
     0.47000000   0.0080490831   0.0080402929
     0.48000000   0.0093222691   0.0093088305
     0.49000000    0.010772170    0.010753101
     0.50000000    0.012419193    0.012393375
     0.51000000    0.014285466    0.014251634
     0.52000000    0.016394897    0.016351626
     0.53000000    0.018773214    0.018718912
     0.54000000    0.021447999    0.021380892
     0.55000000    0.024448698    0.024366822
     0.56000000    0.027806619    0.027707810
     0.57000000    0.031554908    0.031436794
     0.58000000    0.035728500    0.035588493
     0.59000000    0.040364053    0.040199342
     0.60000000    0.045499846    0.045307393
     0.61000000    0.051175659    0.050952193
     0.62000000    0.057432614    0.057174633
     0.63000000    0.064312995    0.064016763
     0.64000000    0.071860032    0.071521582
     0.65000000    0.080117652    0.079732791
     0.66000000    0.089130206    0.088694520
     0.67000000    0.098942156    0.098451018
     0.68000000     0.10959774     0.10904632
     0.69000000     0.12114060     0.12052389
     0.70000000     0.13361342     0.13292623
     0.71000000     0.14705747     0.14629444
     0.72000000     0.16151219     0.16066786
     0.73000000     0.17701478     0.17608354
     0.74000000     0.19359969     0.19257585
     0.75000000     0.21129818     0.21017599
     0.76000000     0.23013789     0.22891155
     0.77000000     0.25014234     0.24880602
     0.78000000     0.27133051     0.26987841
     0.79000000     0.29371642     0.29214277
     0.80000000     0.31730873     0.31560784
     0.81000000     0.34211040     0.34027666
     0.82000000     0.36811831     0.36614625
     0.83000000     0.39532307     0.39320735
     0.84000000     0.42370871     0.42144418
     0.85000000     0.45325254     0.45083426
     0.86000000     0.48392508     0.48134831
     0.87000000     0.51568993     0.51295022
     0.88000000     0.54850388     0.54559704
     0.89000000     0.58231697     0.57923908
     0.90000000     0.61707262     0.61382010
     0.91000000     0.65270795     0.64927751
     0.92000000     0.68915399     0.68554272
     0.93000000     0.72633614     0.72254147
     0.94000000     0.76417458     0.76019430
     0.95000000     0.80258476     0.79841703
     0.96000000     0.84147799     0.83712136
     0.97000000     0.88076203     0.87621542
     0.98000000     0.92034175     0.91560448
     0.99000000     0.96011983     0.95519161
      1.0000000     0.99999747      1.0000000
