     x:             analytic:               u(x):
     0.00000000     0.00000000     0.00000000
    0.010000000   0.0099989657   0.0099911944
    0.020000000    0.019997932    0.019790252
    0.030000000    0.029996901    0.029589311
    0.040000000    0.039995873    0.039388373
    0.050000000    0.049994849    0.049187439
    0.060000000    0.059993830    0.058986510
    0.070000000    0.069992817    0.068785588
    0.080000000    0.079991811    0.078584672
    0.090000000    0.089990813    0.088383764
     0.10000000    0.099989825    0.098182866
     0.11000000     0.10998885     0.10798198
     0.12000000     0.11998788     0.11778110
     0.13000000     0.12998692     0.12758023
     0.14000000     0.13998598     0.13737938
     0.15000000     0.14998505     0.14717854
     0.16000000     0.15998414     0.15697772
     0.17000000     0.16998324     0.16677691
     0.18000000     0.17998236     0.17657611
     0.19000000     0.18998149     0.18637534
     0.20000000     0.19998065     0.19617458
     0.21000000     0.20997982     0.20597384
     0.22000000     0.21997901     0.21577312
     0.23000000     0.22997822     0.22557242
     0.24000000     0.23997746     0.23537174
     0.25000000     0.24997672     0.24517109
     0.26000000     0.25997600     0.25497046
     0.27000000     0.26997530     0.26476985
     0.28000000     0.27997463     0.27456926
     0.29000000     0.28997398     0.28436870
     0.30000000     0.29997336     0.29416816
     0.31000000     0.30997277     0.30396766
     0.32000000     0.31997220     0.31376717
     0.33000000     0.32997166     0.32356672
     0.34000000     0.33997114     0.33336629
     0.35000000     0.34997066     0.34316589
     0.36000000     0.35997021     0.35296552
     0.37000000     0.36996978     0.36276518
     0.38000000     0.37996938     0.37256486
     0.39000000     0.38996902     0.38236458
     0.40000000     0.39996868     0.39216433
     0.41000000     0.40996838     0.40196411
     0.42000000     0.41996811     0.41176391
     0.43000000     0.42996786     0.42156375
     0.44000000     0.43996765     0.43136362
     0.45000000     0.44996748     0.44116353
     0.46000000     0.45996733     0.45096346
     0.47000000     0.46996722     0.46076343
     0.48000000     0.47996714     0.47056343
     0.49000000     0.48996709     0.48036346
     0.50000000     0.49996707     0.49016352
     0.51000000     0.50996709     0.49996361
     0.52000000     0.51996714     0.50976374
     0.53000000     0.52996722     0.51956390
     0.54000000     0.53996733     0.52936409
     0.55000000     0.54996748     0.53916431
     0.56000000     0.55996765     0.54896457
     0.57000000     0.56996786     0.55876485
     0.58000000     0.57996811     0.56856517
     0.59000000     0.58996838     0.57836552
     0.60000000     0.59996868     0.58816590
     0.61000000     0.60996902     0.59796630
     0.62000000     0.61996938     0.60776674
     0.63000000     0.62996978     0.61756721
     0.64000000     0.63997021     0.62736771
     0.65000000     0.64997066     0.63716824
     0.66000000     0.65997114     0.64696880
     0.67000000     0.66997166     0.65676938
     0.68000000     0.67997220     0.66656999
     0.69000000     0.68997277     0.67637063
     0.70000000     0.69997336     0.68617130
     0.71000000     0.70997398     0.69597199
     0.72000000     0.71997463     0.70577271
     0.73000000     0.72997530     0.71557345
     0.74000000     0.73997600     0.72537422
     0.75000000     0.74997672     0.73517501
     0.76000000     0.75997746     0.74497582
     0.77000000     0.76997822     0.75477666
     0.78000000     0.77997901     0.76457751
     0.79000000     0.78997982     0.77437839
     0.80000000     0.79998065     0.78417928
     0.81000000     0.80998149     0.79398020
     0.82000000     0.81998236     0.80378113
     0.83000000     0.82998324     0.81358208
     0.84000000     0.83998414     0.82338305
     0.85000000     0.84998505     0.83318403
     0.86000000     0.85998598     0.84298502
     0.87000000     0.86998692     0.85278603
     0.88000000     0.87998788     0.86258706
     0.89000000     0.88998885     0.87238809
     0.90000000     0.89998982     0.88218914
     0.91000000     0.90999081     0.89199019
     0.92000000     0.91999181     0.90179126
     0.93000000     0.92999282     0.91159233
     0.94000000     0.93999383     0.92139341
     0.95000000     0.94999485     0.93119450
     0.96000000     0.95999587     0.94099559
     0.97000000     0.96999690     0.95079668
     0.98000000     0.97999793     0.96059778
     0.99000000     0.98999897     0.97039888
      1.0000000      1.0000000      1.0000000
